"player_name","team_abbrev","player_label"
"Ryan Coe","CLB","Ryan Coe (CLB)"
"Ryan Coll","STL","Ryan Coll (STL)"
"Ryan Cooper","BHAM","Ryan Cooper (BHAM)"
"Ryan Langan","BHAM","Ryan Langan (BHAM)"
"Ryan Nelson","CLB","Ryan Nelson (CLB)"
"Ryan Sanborn","STL","Ryan Sanborn (STL)"
"Ryder Anderson","BHM","Ryder Anderson (BHM)"
"Sam Kidd","DC","Sam Kidd (DC)"
"Sam Tecklenburg","ARL","Sam Tecklenburg (ARL)"
"Sam Wiglusz","ORL","Sam Wiglusz (ORL)"
"Samuel Jackson","ORL","Samuel Jackson (ORL)"
"Sean Fresch","STL","Sean Fresch (STL)"
"Seth Green","ARL","Seth Green (ARL)"
"Seth Williams","DC","Seth Williams (DC)"
"Shane Calhoun","STL","Shane Calhoun (STL)"
"Shaquan Loyal","BHAM","Shaquan Loyal (BHAM)"
"Shaun Wade","ARL","Shaun Wade (ARL)"
"Shawn Bowman","ORL","Shawn Bowman (ORL)"
"Shawn Preston Jr.","COL","Shawn Preston Jr. (COL)"
"Shon Stephens","COL","Shon Stephens (COL)"
"Siaki Ika","ARL","Siaki Ika (ARL)"
"Silas Bolden","DAL","Silas Bolden (DAL)"
"Sincere Haynesworth","STL","Sincere Haynesworth (STL)"
"Smoke Monday","COL","Smoke Monday (COL)"
"Snoop Conner","BHAM","Snoop Conner (BHAM)"
"Solomon Deshields","HOU","Solomon Deshields (HOU)"
"Solomon Kindley","DC","Solomon Kindley (DC)"
"Spencer Rolland","STL","Spencer Rolland (STL)"
"Spencer Sanders","DC","Spencer Sanders (DC)"
"St. Louis Battlehawks","STL","St. Louis Battlehawks (STL)"
"Steele Chambers","LOU","Steele Chambers (LOU)"
"Steve Linton","STL","Steve Linton (STL)"
"Steven Gilmore","BHAM","Steven Gilmore (BHAM)"
"Steven Jones Jr.","ARL","Steven Jones Jr. (ARL)"
"Steven Losoya III","DC","Steven Losoya III (DC)"
"Steven McBride","STL","Steven McBride (STL)"
"Steven Stilianos","ORL","Steven Stilianos (ORL)"
"Storey Jackson","CLB","Storey Jackson (CLB)"
"T.J. Carter","BHAM","T.J. Carter (BHAM)"
"T.J. Franklin","ARL","T.J. Franklin (ARL)"
"T.J. Pesefea Jr.","ORL","T.J. Pesefea Jr. (ORL)"
"T.J. Smith","ORL","T.J. Smith (ORL)"
"T.K. McLendon","LOU","T.K. McLendon (LOU)"
"Taco Charlton","ARL","Taco Charlton (ARL)"
"Tae Crowder","BHAM","Tae Crowder (BHAM)"
"Tanner Brown","LOU","Tanner Brown (LOU)"
"Tarik Black","LOU","Tarik Black (LOU)"
"Tariq Carpenter","STL","Tariq Carpenter (STL)"
"Tashawn Bower","ARL","Tashawn Bower (ARL)"
"Taulia Tagovailoa","HOU","Taulia Tagovailoa (HOU)"
"Tavante Beckett","ORL","Tavante Beckett (ORL)"
"Tay Martin","CLB","Tay Martin (CLB)"
